PM2_5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind_Speed,Pressure,Month,Hour,City,Industrial_Area,Traffic_Density,AQI
29.88543752357049,49.83344653374542,20.37838038374032,7.106449511800307,7.086412093527873,44.362015234884446,18.9302853014152,84.70679331227112,2.7119448691387116,978.707161190653,1,6,4,1,2,93
17.982311118272868,28.853838115268367,15.622405856357709,4.917097094967595,3.885981759091352,25.526983497236767,39.422455947562995,57.5558842149358,5.091625838141806,1025.455382504551,12,15,3,0,5,40
33.72201305462386,72.04472876540382,29.710624415006002,8.852637354367682,6.622886958823817,14.35184980914811,2.527783330347443,25.265513071680605,1.75362503193772,1029.4671365895435,7,17,0,1,2,136
67.9263401608371,149.8778207539794,54.83179725804776,13.832192068319173,11.60735580958335,30.935262091670097,20.94621044669358,25.832051566681585,5.187165094741137,973.4081144829495,7,5,1,0,3,155
16.654447539091095,25.507721100597433,7.963722316173615,18.476887488565954,8.10987861098863,29.777651898769026,3.7445596643793913,2.02719832381178,9.631075380051037,1004.7312239524698,11,1,3,1,1,52
16.654666283694315,40.57430195743797,26.28545245330395,8.246623656519262,4.922384614804991,28.22050113825691,-5.065715705367168,21.43228437048853,2.8960508256521806,1031.9940076855573,4,12,1,0,5,63
71.04903357472493,110.26605983916242,22.28514521536059,9.123938140196401,6.8798681339047825,31.631190211211564,22.974620531178164,84.6962036319661,3.8582268211767943,1018.4893667127313,11,9,1,0,1,123
37.11227521889498,75.75715139901506,36.701001586385,6.368163884275044,5.363771752256447,36.80770906354346,21.394977961474588,18.09090704115484,9.240533964158901,989.0696990369813,1,20,0,0,1,76
13.79657663211444,30.477472741583103,27.880233943463615,11.917317337596758,6.073530654180817,31.185499260889856,17.151630622577986,33.686062934284564,5.663449629260215,964.3975524854529,3,19,2,1,4,71
31.00188579924875,73.50451400792102,15.624159480955479,6.726802747225492,5.1407268189004585,19.973322992745878,18.93805909960247,52.04886033551551,1.8045276835890194,1005.6843850939599,5,10,4,0,4,68
13.86358815293769,30.695189361885276,20.258361838164458,18.195775818674466,5.57243653392972,40.224405629587366,50.98299434071258,73.75434431779726,10.141193656340365,1011.5682861421225,12,20,0,0,1,58
13.837969086872096,31.851242059905147,15.216562699832183,3.4899711009365855,6.726444355888688,15.184137506979146,17.418248619685656,18.93163179829478,3.7933822207788332,995.3215410034331,2,1,3,0,3,52
24.37528763568944,44.83712753475522,46.78694837528677,9.471234230569696,3.6815013709260245,14.583008025827597,25.10124361250075,72.52859814135559,1.9878893266543174,1015.8616987405599,7,7,4,0,3,92
4.346521214174183,10.061436464002382,24.848241593230217,15.040929785183245,3.6402799444415623,44.50814463277188,13.50635180386119,79.76040323013245,0.6689600831276897,1023.1277349446578,10,23,2,1,10,98
